symbolId,symbolName
2743,AFYA
83,GBPDKK
4375,HD
4525,NOKJPY.I
2620,NOKJPY.P
2744,AG
85,HKDJPY
4376,HEINS
4526,NOKSEK.I
2621,NOKSEK.P
2745,AGCO
86,NOKJPY
4377,HLT
4527,USDTHB.I
2622,USDTHB.P
2746,AGEN
87,NOKSEK
4378,HPQ
4528,ZARJPY.I
2623,ZARJPY.P
2747,AGI
91,USDTHB
4379,HRMSA
4529,AUDNOK.I
2624,AUDNOK.P
2748,AGLE
98,ZARJPY
4380,IBE
4530,CHFDKK.I
2625,CHFDKK.P
2749,AGNC
104,AUDNOK
4381,IBM
4531,MXNJPY.I
2626,MXNJPY.P
2750,AGR
105,CHFDKK
4382,ILMN
4532,SEKJPY.I
2627,SEKJPY.P
2751,AGRO
106,MXNJPY
4383,INTC
4533,USDSEK.I
2628,USDSEK.P
2752,AGRX
107,SEKJPY
4384,JD
2753,AHCO
4385,JNJ
2754,AHG
4386,JPM
2755,AIN
4387,K
2756,AIRG
4388,KHC
2757,AIRS
4389,KKR
2758,AIV
4390,KO
2759,AIZ
4391,L
2760,AJG
4392,LHAG
4393,LMT
2762,AKR
4394,LUV
2763,AKRO
4395,LVMHA
2764,AKTS
4396,LVS
2765,AKTX
4397,LYFT
2766,AKYA
4398,MA
2767,AL
4399,MAN
2768,ALB
4400,MAR
2769,ALC
4401,MCD
2770,ALDX
4402,MCO
2771,ALEC
4403,MET
2772,ALEX
4404,MGM
2773,ALG
4405,MMM
2774,ALGN
4406,MO
2775,ALK
4407,MOMO
2776,ALLE
4408,MRK
2777,ALLY
4409,MSFT
2778,ALNY
4410,MSI
2779,ALPN
4411,MTCH
2780,ALRM
4412,NFLX
2781,ALRN
4413,NKE
2782,ALRS
4414,NRG
2783,ALT
4415,NTES
2784,ALTG
4416,NVDA
2785,ALVR
4417,OMC
2786,ALX
4418,ORCL
2787,AM
4419,OREPA
2788,AMAT
4420,PDD
2789,AMBA
4421,PFE
2790,AMCR
4422,PG
2791,AMD
4423,PINS
2792,AME
4424,PM
2793,AMED
4425,PNC
2794,AMG
4426,PYPL
2795,AMGN
4427,QCOM
2796,AMH
4428,RACE
2797,AMLP
4429,RTN
2798,AMP
4430,SBUX
2799,AMR
4431,SCHW
2800,AMRC
4432,SHOP
2801,AMRN
4433,SIEGn
4434,SOGNA
2803,AMRX
4435,SQ
2804,AMT
4436,T
2805,AMTX
4437,TGT
2806,AMWL
4438,TME
2807,AMX
4439,TOTFA
2808,AN
4440,TRIP
2809,ANDE
4441,TSLA
2810,ANET
4442,TSM
2811,ANF
4443,TSN
2812,ANGI
4444,TWLO
2813,ANSS
4445,UBER
2814,ANTE
4446,V
2815,AOD
4447,VIPS
2816,AON
4448,VOWG_p
2817,AOS
4449,VRSN
2818,APA
4450,W
2819,APD
4451,WIX
2820,APH
4452,WMT
2821,APO
4453,WYNN
2822,APPF
4454,XOM
2823,APPN
4455,YELP
2824,APRN
4456,YUM
2825,APT
4457,ZM
2826,APTV
2828,AR
2829,ARAY
2830,ARCC
2831,ARCH
2832,ARCO
2833,ARCT
2834,ARE
2835,ARGO
2836,ARKF
2837,ARKK
2838,ARMK
2840,AROC
2841,ARR
2842,ARW
2843,ARWR
2844,ASAN
2845,ASH
2846,ASIX
2847,ASTE
2848,ASX
2849,ATEC
2850,ATGE
2851,ATHX
2852,ATI
2854,ATO
2855,ATRA
2856,ATSG
2857,ATUS
2858,AU
2859,AVAV
2860,AVB
2861,AVD
2862,AVGO
2863,AVID
2864,AVK
2865,AVT
2866,AVTR
2867,AVXL
2868,AVY
2869,AWK
2870,AWP
2871,AX
2872,AXGN
2873,AXL
2874,AXON
2875,AXSM
2876,AXTA
2877,AY
2878,AYI
2879,AYRO
2880,AYTU
2881,AYX
2882,AZN
2883,AZO
2884,AZPN
2885,AZUL
2886,BAH
2887,BAX
2888,BB
2889,BBAR
2890,BBD
2891,BBH
2893,BBIO
2894,BBW
2895,BC
2896,BCO
2897,BCRX
2898,BCS
2899,BDC
2900,BDJ
2901,BDN
2902,BDX
2903,BE
2904,BERY
2905,BEST
2906,BFAM
2907,BFH
2908,BFb
2909,BG
2912,BHF
2913,BHLB
2914,BIG
2915,BIIB
2916,BILI
2917,BIO
2918,BIP
2919,BIRD
2920,BJ
2921,BKD
2922,BLFS
2923,BLMN
2924,BLNK
2925,BLUE
2926,BMI
2927,BMO
2928,BMRN
2929,BMY
2930,BNGO
2931,BNTX
2932,BOOT
2933,BOX
2934,BPMC
2935,BR
2936,BRFS
2937,BRKR
2938,BRO
2939,BRX
2940,BSAC
2941,BSRR
2942,BSX
2943,BSY
2944,BTI
2945,BUD
2946,BURL
2947,BW
2948,BWA
2949,BX
2950,BXMT
2951,BXP
2952,BYD
2953,BYND
2954,BZFD
2955,BZUN
2956,CACC
2957,CADE
2958,CAG
2959,CAH
2960,CAKE
2961,CAL
2962,CALX
2963,CAMP
2964,CAN
2966,CAR
2967,CARA
2968,CARG
